zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
72057,12.2,87.4,16.2
48026,7.4,91,22.5
97504,10.1,92.4,31.1
78419,5.8,99,35.6
02893,7.6,87.5,22.6
76953,0,88.9,33.3
42741,4.9,72.2,16.9
50061,11.2,98.2,48.9
55793,8.9,93.1,23
53575,14.4,96.4,42.1
00772,2.4,70.7,11.3
13439,7.9,90.6,17.7
17933,35.1,100,35.1
30024,20.4,96.1,58.6
62661,4.7,94.8,18.5
85748,14.7,95.2,37.8
01256,7.2,84,18.3
56063,11.4,97.3,35.8
53119,8.1,97.5,29.2
97498,13.7,93,34.8
14850,39,95.4,63.7
23027,1.3,85.1,5.8
19111,6.4,83.3,22.1
15019,9,92.4,15.8
01901,7.1,72.5,17.6
38623,0,68.1,1.8
92683,6.4,77.7,24.2
13628,6.3,86.6,25.9
80457,11,100,36.3
31525,7.7,87.8,21.2
80654,8,87.5,14.4
15717,6.4,92.9,16.3
28032,9.9,87.4,32.2
84329,0,100,14.6
97465,9.3,89.4,24.9
49688,6.9,87.7,16.1
54961,4.2,92.4,18.8
96143,10.4,90.8,33.9
77442,6.9,83.7,30.3
57646,1.7,87.2,30
97484,0,95.4,13.9
60115,15.9,93.2,37.4
56586,6.6,95.6,23
71103,5.3,75.3,12.4
99181,3.1,86.9,17.9
81022,5.7,86.1,13
37339,1.4,72.5,5.7
04216,2.9,94.2,11.7
40906,7.6,69,13.9
38344,5.5,83.8,17
64029,8.3,93.1,25
22469,3.6,70.2,19.4
25214,0,65.3,0
81067,4.3,82.8,16.8
37048,7.2,88.8,20.7
40007,0,86.7,7.1
78014,3.7,70.3,14.4
81430,20,98.8,64.5
68517,28.9,100,44.3
61415,5.8,94.2,19.5
87028,0,68.5,30.6
83873,4.3,88.7,20.6
56263,2.4,95.8,17.1
52155,1.7,87.8,14.4
96055,7.7,84.6,18.6
67567,0.5,93,13.6
62859,7.2,89.4,15.1
98376,11.6,95.2,28.3
38024,5.9,83.3,18.7
58569,0,100,23.4
39361,9.4,72.9,17.4
33615,7.9,86.9,25.5
67578,4.9,87.8,18.4
55314,3.1,87.8,12
76263,0,100,12.7
67353,4,93.1,15
93267,0.6,58,5.9
46163,11.4,96,35.7
78220,3.4,69,10.5
21871,3.2,87.1,14.1
