mean,median,stdev,lat,lon,zip_code
163820.5,236812.5,76243.5,42.3747,-71.4327,01776
148946.5,152287.5,83001.0,42.3563,-71.3532,01778
95390.0,246367.0,61672.75,42.4809,-71.1622,01801
109749.0,300000.0,65384.0,42.5085,-71.2159,01803
124116.0,300000.0,77270.5,42.6687,-71.1795,01810
108409.0,104211.33,63601.67,42.547,-71.2576,01821
108921.33,100969.67,72067.0,42.6085,-71.3394,01824
91643.33,153099.67,57090.67,42.6788,-71.3197,01826
130749.0,300000.0,72050.0,42.6761,-71.4998,01827
84106.5,75904.0,56596.5,42.7899,-71.1229,01832
113770.0,107616.0,65945.0,42.7338,-70.9601,01833
63413.0,49216.0,54233.25,42.7688,-71.0739,01835
56745.75,70899.0,46820.5,42.7129,-71.1717,01841
53497.5,43771.0,39438.0,42.6921,-71.1595,01843
93444.67,145094.67,62598.33,42.7386,-71.1808,01844
123752.33,173719.67,72186.0,42.6833,-71.1015,01845
70089.5,62200.5,50241.0,42.6538,-71.3037,01850
67781.0,53678.0,58745.67,42.6308,-71.329,01851
60415.75,50080.0,46972.75,42.6326,-71.3044,01852
55849.5,51250.5,44780.0,42.6434,-71.3341,01854
0.0,0.0,0.0,42.5636,-71.3082,01862
119524.0,111509.0,68043.5,42.5837,-71.0958,01864
80718.0,66015.25,61150.5,42.5173,-71.6372,01867
97553.5,300000.0,60726.5,42.6019,-71.2262,01876
92194.5,80976.5,60484.5,42.4916,-71.0731,01880
103763.0,300000.0,56586.0,42.6324,-71.4324,01886
118001.0,111923.0,71083.0,42.5421,-71.1842,01887
142924.0,193632.33,85007.67,42.451,-71.1351,01890
58588.0,91024.2,48665.4,42.4725,-70.9388,01902
103387.0,89547.0,65150.0,42.4905,-70.9626,01904
63387.25,47227.0,54263.25,42.4627,-70.977,01905
85212.0,154113.0,59972.33,42.4726,-71.0194,01906
102229.0,188940.5,66410.0,42.4829,-70.92,01907
73644.0,27757.0,79884.0,42.4283,-70.926,01908
76628.5,69529.0,48573.0,42.8431,-70.9246,01913
90636.5,124445.0,69922.75,42.5555,-70.8579,01915
68430.0,300000.0,51620.0,42.5606,-70.9393,01923
108593.0,107466.0,70356.0,42.6404,-70.7712,01929
62287.75,105025.25,48647.5,42.5965,-70.6615,01930
87956.0,68330.0,72017.0,42.6715,-70.8007,01938
139750.0,133318.0,80695.0,42.5473,-71.0538,01940
106954.33,99289.33,64595.0,42.5064,-70.8498,01945
99395.0,75285.0,69485.0,42.6007,-71.0308,01949
93792.0,68046.0,76517.0,42.8081,-70.8783,01950
106307.0,300000.0,68217.0,42.7704,-70.8724,01951
72345.0,57283.0,48275.0,42.8573,-70.8762,01952
78500.2,64093.6,59982.2,42.5268,-70.9454,01960
80000.0,57795.0,61827.0,42.6407,-70.6202,01966
72287.75,60446.25,53719.0,42.5137,-70.8944,01970
130593.5,300000.0,83764.0,42.6414,-70.9434,01983
132348.0,300000.0,80912.0,42.6006,-70.8833,01984
