,State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev
19193,NY,Hewlett,11557,40.6419957,-73.6943933,125108,300000,72251
19194,NY,Lynbrook,11563,40.6531902,-73.6758303,72112,60309,47697
19195,NY,East Rockaway,11518,40.6458189,-73.6664223,143493,300000,74690
19196,NY,Rockville Centre,11570,40.6542323,-73.64839609999999,89071,66354,69013
19197,NY,Rockville Centre,11570,40.661492200000005,-73.64137020000001,126874,300000,88071
19198,NY,South Hempstead,11550,40.6813399,-73.623334,100078,300000,54284
19199,NY,Oceanside,11572,40.6272092,-73.6533873,112845,104987,74388
19200,NY,Brooklyn,11209,40.618979700000004,-74.02687209999999,76483,60833,57847
19201,NY,Oceanside,11572,40.6304882,-73.64364559999999,137228,300000,83827
19202,NY,Oceanside,11572,40.6375195,-73.628331,109641,300000,61585
19203,NY,Baldwin,11510,40.6693142,-73.61080059999999,96739,300000,76034
19204,NY,Baldwin,11510,40.646546799999996,-73.6098142,84197,300000,61286
19205,NY,Roosevelt,11575,40.6792734,-73.59149140000001,85433,89213,48026
19206,NY,Freeport,11520,40.668708200000005,-73.5907793,74878,300000,41065
19207,NY,Freeport,11520,40.6633563,-73.5837561,61631,30584,65420
19208,NY,Freeport,11520,40.64991679999999,-73.58094809999999,55900,33635,55086
19209,NY,Freeport,11520,40.6364669,-73.57924659999999,117305,92140,80021
19210,NY,North Bellmore,11710,40.6833768,-73.5424561,95973,87439,62019
19211,NY,Brooklyn,11228,40.6101331,-74.01263399999999,81104,68856,65434
19212,NY,North Bellmore,11710,40.6887431,-73.53117320000001,94312,300000,67097
19213,NY,Merrick,11566,40.6417899,-73.548625,136081,119820,75063
19214,NY,Bellmore,11710,40.645787,-73.5364381,158720,300000,69207
19215,NY,Bellmore,11710,40.6584973,-73.53189520000001,132100,133374,74578
19216,NY,Wantagh,11793,40.6793876,-73.5165815,148380,300000,84387
19217,NY,Wantagh,11793,40.6832976,-73.50258769999999,139864,300000,72481
19218,NY,East Rockaway,11518,40.626068700000005,-73.68117729999999,120234,93632,73298
19219,NY,Hempstead,11550,40.58605670000001,-73.72509670000001,119286,94502,75517
19220,NY,Long Beach,11561,40.5920323,-73.6683683,127664,300000,61468
19221,NY,Long Beach,11561,40.590574,-73.6510657,89880,78077,56590
19222,NY,Brooklyn,11205,40.687775,-73.9723679,101892,87110,70751
19223,NY,Freeport,11520,40.6048438,-73.5586235,157464,179840,86970
19224,NY,Glen Cove,11542,40.8779155,-73.62330990000001,119400,300000,67416
19225,NY,Glen Cove,11542,40.860197799999995,-73.60624179999999,66469,46078,57262
19226,NY,Glen Head,11545,40.8275953,-73.6384693,145974,300000,73942
19227,NY,Jericho,11753,40.807911600000004,-73.570122,178731,203439,77908
19228,NY,Huntington,11743,40.9069174,-73.5105178,144265,138812,84906
19229,NY,Bronx,10472,40.8332756,-73.8755275,35044,24226,32251
19230,NY,East Norwich,11732,40.8495235,-73.5288524,113199,113516,77453
19231,NY,Syosset,11791,40.8293919,-73.5060245,170420,187634,81857
19232,NY,Jericho,11753,40.7828712,-73.52551070000001,150869,144102,74507
19233,NY,Syosset,11791,40.8037167,-73.50656,128294,300000,59660
19234,NY,Brooklyn,11219,40.6284585,-73.9989281,58686,37551,60810
19235,NY,Hicksville,11801,40.768414299999996,-73.5406425,138227,300000,57497
19236,NY,Hicksville,11801,40.750755,-73.525735,117624,300000,69033
19237,NY,Hicksville,11801,40.7650004,-73.5139024,64908,54302,36602
19238,NY,Hicksville,11801,40.783636,-73.511438,104190,300000,61393
19239,NY,Plainview,11803,40.788824700000006,-73.4577056,125431,111512,82589
19240,NY,Plainview,11803,40.7693678,-73.48815,107260,83606,78175
19241,NY,Plainview,11803,40.762310799999995,-73.48429990000001,118504,300000,70233
19242,NY,Bethpage,11714,40.7508283,-73.45838690000001,152736,300000,74315
19243,NY,Bethpage,11714,40.720834,-73.4763881,100454,300000,58213
19244,NY,Farmingdale,11735,40.7295408,-73.4428568,104582,68999,79315
19245,NY,Brooklyn,11228,40.62202,-74.0110215,95868,88723,66423
19246,NY,Farmingdale,11735,40.7133944,-73.44985340000001,113623,300000,67594
19247,NY,N Massapequa,11758,40.7137448,-73.4701386,111362,101604,60561
19248,NY,Massapequa,11758,40.697937700000004,-73.4756978,117114,300000,70531
19249,NY,Massapequa,11758,40.68840529999999,-73.4706593,105483,300000,75950
19250,NY,Massapequa Park,11762,40.65760039999999,-73.4640836,147134,300000,75959
19251,NY,Massapequa Park,11762,40.6845239,-73.4527175,100309,300000,66000
19252,NY,Massapequa,11758,40.6669221,-73.45432840000001,105055,300000,64865
19253,NY,Massapequa Park,11762,40.6318174,-73.4471934,126076,97891,77854
19254,NY,Seaford,11783,40.6834505,-73.48848000000001,143455,132008,79973
19255,NY,Jersey City,7302,40.6900555,-74.04614240000001,0,0,0
19256,NY,Brooklyn,11225,40.668354799999996,-73.96046740000001,53988,37779,52858
19257,NY,New York,10004,40.6903066,-74.017891,0,0,0
19258,NY,New York,10004,40.7038083,-74.00501949999999,0,0,0
19259,NY,New York,10004,40.6986408,-74.00589699999999,0,0,0
19260,NY,New York,10002,40.7159065,-73.9820936,100415,91469,69551
19261,NY,New York,10038,40.7075653,-74.00139909999999,63514,49704,51021
19262,NY,New York,10002,40.715956799999994,-73.993266,71282,300000,67597
19263,NY,New York,10002,40.718356899999996,-73.9702209,23418,17698,21316
19264,NY,New York,10009,40.722161799999995,-73.96825009999999,51338,23603,66358
19265,NY,New York,10038,40.712550799999995,-73.99901209999999,85653,58285,78655
19266,NY,New York,10002,40.721005700000006,-73.98683869999999,94331,77632,58968
19267,NY,Brooklyn,11219,40.6405156,-73.9903118,52854,37165,45081
19268,NY,New York,10009,40.7255579,-73.9837166,88972,84698,51930
19269,NY,New York,10002,40.7223222,-73.9911397,36693,16069,44487
19270,NY,New York,10003,40.7273669,-73.9884656,80209,300000,50737
19271,NY,New York,10028,40.7204981,-74.0122662,187377,220441,84528
19272,NY,New York,10013,40.7191639,-73.9966958,82485,54857,83968
19273,NY,New York,10009,40.727842100000004,-73.9715756,64562,64591,41792
19274,NY,New York,10003,40.7338561,-73.9837297,154075,300000,83996
19275,NY,New York,10003,40.7361115,-73.98721379999999,161984,300000,81382
19276,NY,New York,10003,40.72767329999999,-73.99708299999999,157104,300000,77725
19277,NY,New York,10010,40.7431498,-73.9905172,147114,151229,89018
19278,NY,Brooklyn,11205,40.692513,-73.95778490000001,60987,44718,60053
19279,NY,New York,10011,40.7337076,-73.9923293,121655,100393,77632
19280,NY,New York,10011,40.734421399999995,-73.9968603,116723,111122,85044
19281,NY,New York,10014,40.7299685,-73.9995774,104474,96567,81907
19282,NY,New York,10010,40.7400705,-73.9792317,82536,50897,70049
19283,NY,New York,10010,40.7404366,-73.9840803,119132,300000,68428
19284,NY,New York,10011,40.7354477,-73.99991390000001,142518,151877,83492
19285,NY,New York,10016,40.744865600000004,-73.9808585,82626,300000,55427
19286,NY,New York,10014,40.7343782,-74.0151997,0,0,0
19287,NY,New York,10011,40.7380851,-74.00329659999998,131384,300000,70352
19288,NY,New York,10011,40.7397795,-74.0144915,82593,67870,76259
19289,NY,Brooklyn,11216,40.67944310000001,-73.9492697,54079,43209,49060
19290,NY,New York,10011,40.73980529999999,-73.9987713,114127,113208,81958
19291,NY,New York,10036,40.7519695,-73.9840942,0,0,0
19292,NY,Long Island City,11109,40.7525143,-73.9617418,134125,131519,94370
19293,NY,New York,10016,40.7494997,-73.9723847,139350,300000,73807
19294,NY,New York,10016,40.752658600000004,-73.9700939,125592,112803,78602
19295,NY,New York,10001,40.7471119,-74.0008752,52434,40262,51644
19296,NY,New York,10036,40.756374799999996,-73.98088609999999,130453,132578,71784
19297,NY,New York,10065,40.755788,-73.9677745,142422,118775,79232
19298,NY,New York,10021,40.7562006,-73.95849890000001,0,0,0
19299,NY,New York,10021,40.7600894,-73.9582412,149784,118963,81984
19300,NY,Brooklyn,11206,40.6982179,-73.9473445,65376,52856,57605
19301,NY,New York,10065,40.7621475,-73.9631394,137288,115388,94722
19302,NY,New York,10065,40.761244399999995,-73.9689142,133219,123001,89800
19303,NY,New York,10021,40.7625331,-73.9557917,105300,300000,60088
19304,NY,New York,10021,40.76527479999999,-73.96085529999999,137483,97826,92299
19305,NY,New York,10036,40.7597092,-73.99170040000001,54560,30117,57174
19306,NY,Roosevelt Island,10044,40.766056,-73.9529175,108382,100418,66045
19307,NY,New York,10021,40.7684666,-73.9585262,134065,111279,82219
19308,NY,New York,10019,40.762237,-73.989856,92844,69242,72536
19309,NY,New York,10019,40.7650037,-73.999997,138381,135115,90492
19310,NY,New York,10021,40.7693334,-73.9500351,134000,300000,78677
19311,NY,Brooklyn,11204,40.61263029999999,-73.9903254,66970,51028,56526
19312,NY,New York,10021,40.77170170000001,-73.9561658,123837,300000,80368
19313,NY,New York,10019,40.7717078,-73.9993718,91179,65516,80013
19314,NY,New York,10021,40.7725278,-73.9480644,129814,115004,90131
19315,NY,New York,10028,40.7749216,-73.953815,84766,300000,51187
19316,NY,New York,10019,40.7672922,-73.98617109999999,96825,95996,66534
19317,NY,New York,10028,40.7772742,-73.96142569999999,133076,87250,92589
19318,NY,New York,10128,40.7762431,-73.9453168,134964,129437,89137
19319,NY,New York,10028,40.7771918,-73.952161,161104,173131,82087
19320,NY,New York,10028,40.7788416,-73.9560743,148569,126310,83744
19321,NY,New York,10023,40.7723544,-73.9824833,148419,160021,87904
19322,NY,Brooklyn,11214,40.610896399999994,-73.999489,62712,45784,59542
19323,NY,New York,10022,40.7753625,-73.99210140000001,19366,17622,12131
19324,NY,New York,10023,40.7748578,-73.9806658,132127,115084,90053
19325,NY,New York,10128,40.7813494,-73.9491245,83504,91513,51964
19326,NY,New York,10023,40.7798937,-73.9935495,135355,117966,73861
19327,NY,New York,10024,40.7774175,-73.9787896,127309,300000,69908
19328,NY,New York,10128,40.786524299999996,-73.95046500000001,119982,109311,79934
19329,NY,New York,10128,40.7856349,-73.9553223,172032,198814,83057
19330,NY,New York,10027,40.779949200000004,-73.9771934,119448,128764,65220
19331,NY,New York,10024,40.7849584,-73.98982629999999,110510,107159,77008
19332,NY,New York,10027,40.782357700000006,-73.97499870000001,142053,140944,91643
19333,NY,Brooklyn,11206,40.6974508,-73.94088520000001,22877,14296,23382
19334,NY,New York,10024,40.7861484,-73.9838791,160871,300000,90144
19335,NY,New York,10024,40.7851959,-73.9731196,141320,128719,82301
19336,NY,New York,10024,40.7890396,-73.9823769,95369,70954,81862
