number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
1,60644,49645.0,IL,Cook County,3.5,77.1,11.3,27143.17,35315.17,41.881,-87.76,37115.0
1,60647,88866.0,IL,Cook County,18.1,86.7,49.3,76810.78,50255.67,41.923,-87.708,62628.89
1,60659,38995.0,IL,Cook County,13.1,81.3,36.8,55482.0,50143.33,41.992,-87.6983,69100.67
1,60706,23604.0,IL,Cook County,8.5,88.1,27.4,172815.0,45061.5,41.9599,-87.8182,64038.5
1,60803,22762.0,IL,Cook County,5.0,87.1,17.8,134739.0,42027.67,41.6753,-87.73100000000001,65765.67
1,60827,28864.0,IL,Cook County,4.6,85.3,13.1,36739.67,33962.67,41.6495,-87.6283,44843.0
1,60901,36150.0,IL,Kankakee County,6.2,80.5,14.5,18765.0,33633.5,41.1201,-87.8523,30778.5
2,60914,29186.0,IL,Kankakee County,11.5,94.4,30.7,128585.33,45365.33,41.1687,-87.8737,67005.67
1,60942,5901.0,IL,Vermilion County,4.8,82.2,14.3,43908.0,40644.0,40.5404,-87.6796,54404.0
1,60970,7046.0,IL,Iroquois County,2.4,88.5,10.2,35718.0,41079.0,40.7748,-87.7293,46845.0
1,61008,34552.0,IL,Boone County,7.9,85.6,19.4,50325.33,46169.33,42.2516,-88.8527,59932.33
1,61032,30695.0,IL,Stephenson County,7.1,90.7,18.8,96537.2,41766.8,42.284,-89.6449,60474.8
1,61085,3379.0,IL,Jo Daviess County,6.3,92.6,16.6,86566.0,57746.0,42.2941,-90.0083,85780.0
1,61101,20622.0,IL,Winnebago County,3.2,76.0,11.0,31428.0,35865.0,42.3039,-89.1065,40473.0
1,61108,27369.0,IL,Winnebago County,7.9,90.2,21.9,37764.75,45180.25,42.2516,-89.01700000000001,52244.75
5,61109,27457.0,IL,Winnebago County,4.7,80.0,15.4,104799.0,41202.0,42.2097,-89.0599,59031.5
2,61111,24352.0,IL,Winnebago County,7.0,90.3,22.4,48724.0,29027.0,42.3211,-89.0531,49634.0
1,61115,22910.0,IL,Winnebago County,3.4,89.2,14.5,48832.0,41400.4,42.3554,-89.0508,57757.6
2,61201,38744.0,IL,Rock Island County,7.6,87.7,22.9,90261.83,46256.33,41.4704,-90.5709,62418.33
1,61231,5057.0,IL,Mercer County,7.7,91.7,25.2,46321.0,42342.0,41.1934,-90.7488,54015.0
1,61244,23609.0,IL,Rock Island County,5.7,84.5,20.3,56260.33,47545.67,41.5168,-90.4229,66761.67
1,61264,10716.0,IL,Rock Island County,7.2,92.3,17.5,30938.0,45067.0,41.4331,-90.5803,45833.0
1,61265,44360.0,IL,Rock Island County,9.7,88.3,26.1,55948.0,52748.0,41.4912,-90.5021,64750.5
1,61342,9067.0,IL,LaSalle County,5.5,83.3,16.2,47792.0,51361.0,41.5646,-89.1452,61655.0
4,61350,23992.0,IL,LaSalle County,7.8,89.5,19.6,32603.0,41175.0,41.3649,-88.8313,39508.0
2,61364,19546.0,IL,LaSalle County,4.2,86.9,14.4,214706.67,51406.67,41.1265,-88.8595,65169.33
1,61401,34242.0,IL,Knox County,6.9,86.1,17.3,40231.0,46800.0,40.9663,-90.3819,52326.25
1,61455,21464.0,IL,McDonough County,21.1,93.4,40.4,30484.0,38714.0,40.4559,-90.6767,42702.0
2,61462,11713.0,IL,Warren County,8.6,84.6,26.2,36554.0,48788.0,40.9237,-90.6474,51173.0
4,61520,17232.0,IL,Fulton County,6.1,85.9,17.7,49396.0,40720.0,40.5619,-90.0097,55711.67
3,61523,11408.0,IL,Peoria County,7.6,87.9,21.0,85748.0,68204.0,40.9157,-89.5682,98302.0
4,61550,17847.0,IL,Tazewell County,14.7,95.6,44.0,66794.0,49250.0,40.6246,-89.4513,77526.5
7,61554,43456.0,IL,Tazewell County,5.7,90.6,18.9,125328.33,38899.33,40.57,-89.6419,55117.0
1,61571,24674.0,IL,Tazewell County,9.7,95.5,33.0,84789.33,57810.33,40.7069,-89.4501,94694.33
2,61604,31256.0,IL,Peoria County,6.0,88.5,20.5,95006.5,31339.25,40.7124,-89.6263,39236.25
1,61611,25243.0,IL,Tazewell County,6.6,92.2,21.9,45209.0,45230.0,40.6412,-89.5552,58379.0
1,61614,28600.0,IL,Peoria County,16.7,94.8,42.5,186165.0,55199.5,40.7605,-89.619,79460.5
3,61615,22984.0,IL,Peoria County,20.2,95.0,49.6,51421.0,39987.0,40.8026,-89.6068,60260.0
1,61701,35788.0,IL,McLean County,10.2,93.9,32.8,28745.75,34692.75,40.474000000000004,-89.0007,41960.5
2,61704,36869.0,IL,McLean County,22.7,96.7,59.8,139658.33,45309.33,40.4738,-88.9532,73840.67
1,61727,10019.0,IL,De Witt County,5.7,90.4,22.3,300000.0,53083.0,40.1504,-88.9719,59171.0
1,61761,54812.0,IL,McLean County,17.9,96.6,49.2,50714.2,48584.8,40.5158,-88.9884,62741.0
4,61764,14714.0,IL,Livingston County,4.8,85.8,14.3,51962.0,37066.0,40.8754,-88.6364,60099.0
1,61801,31558.0,IL,Champaign County,35.9,95.8,59.9,161490.0,43687.5,40.0852,-88.2107,54974.5
1,61802,18537.0,IL,Champaign County,15.5,92.1,33.9,36545.0,22956.5,40.1192,-88.1789,40515.0
1,61822,25105.0,IL,Champaign County,32.7,96.9,60.8,120068.0,74716.0,40.0694,-88.29,130016.0
7,61832,35812.0,IL,Vermilion County,4.6,85.6,15.1,35057.0,39267.0,40.1436,-87.6267,45130.0
1,61944,12038.0,IL,Edgar County,6.5,88.1,18.6,52604.33,45848.33,39.5802,-87.7188,61169.33
